,change_2
36120,-0.25
36121,0.45
36122,0.31
36123,-0.01
36124,-0.03
36125,0.1
36126,0.02
36127,-0.11
36128,0.18
36129,0.14
36130,-0.07
36131,0.03
36132,-0.02
36133,-0.0
36134,0.0
36135,0.01
36136,0.04
36137,-0.11
36138,-0.18
36139,-0.1
36140,0.05
36141,0.3
36142,0.09
36143,-0.2
36144,-0.04
36145,0.06
36146,-0.06
36147,-0.13
36148,-0.1
36149,-0.02
36150,-0.22
36151,-0.21
36152,-0.04
36153,-0.16
36154,-0.27
36155,0.29
36156,0.32
36157,-0.24
36158,-0.07
36159,-0.07
36160,-0.12
36161,-0.0
36162,-0.37
36163,-0.35
36164,0.11
36165,0.25
36166,0.09
36167,0.14
36168,0.11
36169,-0.1
36170,-0.07
36171,-0.2
36172,-0.42
36173,-0.3
36174,0.11
36175,0.14
36176,0.33
36177,0.27
36178,0.18
36179,0.15
36180,-0.01
36181,-0.04
36182,-0.14
36183,0.01
36184,-0.07
36185,-0.03
36186,-0.07
36187,-0.15
36188,-0.07
36189,0.16
36190,-0.05
36191,-0.39
36192,-0.09
36193,-0.02
36194,0.11
36195,-0.05
36196,-0.21
36197,-0.09
36198,-0.14
36199,-0.16
36200,-0.05
36201,0.31
36202,0.22
36203,-0.32
36204,-0.17
36205,-0.42
36206,-0.64
36207,0.07
36208,0.01
36209,-0.26
36210,0.15
36211,0.13
36212,0.06
36213,0.21
36214,0.0
36215,0.16
36216,0.21
36217,0.05
36218,0.03
36219,-0.03
36220,-0.12
36221,-0.22
36222,0.15
36223,0.26
36224,-0.11
36225,0.11
36226,0.1
36227,-0.13
36228,0.0
36229,0.08
36230,-0.04
36231,-0.33
36232,-0.31
36233,-0.06
36234,-0.05
36235,-0.22
36236,-0.26
36237,-0.37
36238,-0.32
36239,0.19
36240,-0.03
36241,-0.19
36242,0.29
36243,-0.3
36244,-0.27
36245,0.48
36246,0.39
36247,0.23
36248,-0.2
36249,-0.3
36250,-0.09
36251,-0.14
36252,-0.17
36253,-0.52
36254,-0.42
36255,-0.08
36256,0.22
36257,0.38
36258,0.1
36259,0.19
36260,0.37
36261,0.27
36262,-0.26
36263,-0.2
36264,-0.06
36265,0.01
36266,0.26
36267,0.04
36268,-0.31
36269,-0.29
36270,0.99
36271,1.22
36272,0.2
36273,0.03
36274,0.13
36275,0.07
36276,-0.08
36277,-0.05
36278,0.01
36279,0.07
36280,-0.01
36281,0.31
36282,0.57
36283,0.0
36284,-0.31
36285,-0.15
36286,-0.08
36287,-0.03
36288,-0.03
36289,-0.09
36290,-0.01
36291,0.16
36292,0.31
36293,0.14
36294,-0.16
36295,0.06
36296,0.06
36297,-0.23
36298,-0.29
36299,-0.13
36300,0.18
36301,0.4
36302,0.3
36303,0.2
36304,0.17
36305,-0.03
36306,-0.06
36307,0.03
36308,0.06
36309,0.06
36310,0.12
36311,0.03
36312,0.09
36313,-0.06
36314,-0.19
36315,0.23
36316,0.46
36317,0.25
36318,0.22
36319,0.07
36320,-0.08
36321,-0.13
36322,-0.51
36323,-0.35
36324,-0.3
36325,-0.36
36326,-0.31
36327,-0.16
36328,0.26
36329,0.23
36330,-1.95
36331,-1.93
36332,0.52
36333,0.62
36334,0.14
36335,-0.03
36336,-0.06
36337,0.15
36338,0.25
36339,0.03
36340,-0.08
36341,-0.16
36342,-0.23
36343,-0.14
36344,0.07
36345,-0.18
36346,-0.3
36347,-0.18
36348,-0.16
36349,0.17
36350,0.07
36351,-0.15
36352,-0.17
36353,0.13
36354,0.43
36355,0.3
36356,-0.08
36357,-0.13
36358,0.19
36359,-0.03
36360,-0.22
36361,-0.09
36362,0.32
36363,0.46
36364,0.09
36365,-0.19
36366,-0.14
36367,-0.03
36368,0.05
36369,0.01
36370,-0.05
36371,0.09
36372,-0.02
36373,-0.17
36374,0.0
36375,-0.03
36376,-0.11
36377,-0.16
36378,-0.24
36379,-0.04
36380,0.13
36381,0.33
36382,0.35
36383,0.01
36384,-0.03
36385,0.14
36386,0.11
36387,0.03
36388,-0.11
36389,-0.15
36390,-0.06
36391,0.18
36392,0.11
36393,0.13
36394,0.34
36395,0.27
36396,0.17
36397,0.01
36398,0.27
36399,0.05
36400,-0.41
36401,-0.29
36402,-0.19
36403,-0.0
36404,0.02
36405,-0.16
36406,-0.06
36407,0.09
36408,0.15
36409,0.03
36410,-0.18
36411,-0.07
36412,0.43
36413,0.35
36414,-0.08
36415,0.03
36416,-0.11
36417,-0.22
36418,-0.09
36419,-0.08
36420,-0.09
36421,-0.06
36422,-0.03
36423,-0.08
36424,-0.07
36425,-0.12
36426,-0.04
36427,0.1
36428,0.1
36429,0.09
36430,0.0
36431,0.05
36432,0.09
36433,0.08
36434,0.13
36435,0.03
36436,0.05
36437,-0.01
36438,-0.1
36439,-0.12
36440,-0.16
36441,-0.23
36442,-0.09
36443,0.11
36444,0.3
36445,0.26
36446,-0.17
36447,-0.25
36448,-0.18
36449,-0.11
36450,-0.27
36451,-0.2
36452,0.22
36453,0.29
36454,0.3
36455,0.12
36456,0.12
36457,0.25
36458,0.14
36459,-0.01
36460,-0.05
36461,-0.02
36462,-0.08
36463,-0.07
36464,-0.02
36465,0.01
36466,0.13
36467,0.17
36468,-0.13
36469,-0.26
36470,-0.1
36471,-0.04
36472,0.08
36473,0.06
36474,-0.08
36475,-0.06
36476,-0.1
36477,-0.0
36478,-0.02
36479,-0.07
36480,-0.01
36481,-0.02
36482,-0.03
36483,-0.1
36484,-0.08
36485,-0.11
36486,-0.19
36487,-0.05
36488,0.02
36489,0.13
36490,0.11
36491,0.19
36492,0.28
36493,0.08
36494,0.05
36495,0.09
36496,0.19
36497,0.21
36498,0.35
36499,0.19
36500,-0.05
36501,-0.02
36502,-0.12
36503,-0.02
36504,0.0
36505,-0.14
36506,-0.07
36507,-0.05
36508,-0.03
36509,-0.05
36510,0.01
36511,0.06
36512,-0.15
36513,-0.19
36514,-0.19
36515,-0.23
36516,-0.16
36517,-0.03
36518,-0.02
36519,-0.01
36520,0.14
36521,0.07
36522,-0.1
36523,-0.1
36524,-0.27
36525,-0.3
36526,0.12
36527,0.27
36528,-0.01
36529,0.02
36530,0.05
36531,-0.02
36532,-0.07
36533,-0.17
36534,0.07
36535,0.13
36536,-0.18
36537,-0.1
36538,-0.18
36539,-0.27
36540,0.07
36541,0.22
36542,0.08
36543,-0.29
36544,-0.25
36545,-0.28
36546,-0.44
36547,-0.02
36548,0.23
36549,0.09
36550,0.06
36551,-0.04
36552,-0.31
36553,-0.14
36554,0.32
36555,0.18
36556,-0.07
36557,0.07
36558,0.31
36559,0.23
36560,0.01
36561,-0.08
36562,-0.12
36563,-0.31
36564,-0.46
36565,-0.46
36566,-0.24
36567,-0.03
36568,-0.08
36569,-0.31
36570,2.55
36571,3.06
36572,0.11
36573,-0.44
36574,-0.06
36575,0.34
36576,0.06
36577,-0.02
36578,-0.2
36579,-0.08
36580,0.0
36581,-0.06
36582,0.12
36583,0.19
36584,-0.06
36585,-0.1
36586,0.03
36587,-0.09
36588,-0.28
36589,-0.23
36590,-0.1
36591,-0.08
36592,-0.04
36593,-0.18
36594,-0.15
36595,-0.03
36596,0.01
36597,0.03
36598,0.09
36599,0.13
36600,-0.13
36601,0.0
36602,0.36
36603,0.27
36604,-0.17
36605,-0.29
36606,0.21
36607,0.11
36608,-0.17
36609,0.2
36610,0.03
36611,-0.13
36612,-0.24
36613,-0.39
36614,-0.14
36615,-0.16
36616,0.0
36617,0.2
36618,0.05
36619,0.1
36620,0.27
36621,0.22
36622,-0.03
36623,-0.09
36624,-0.03
36625,-0.2
36626,-0.2
36627,0.02
36628,0.25
36629,0.26
36630,0.09
36631,-0.06
36632,-0.21
36633,-0.21
36634,-0.02
36635,0.08
36636,-0.05
36637,-0.07
36638,0.21
36639,0.18
36640,0.04
36641,-0.18
36642,-0.35
36643,-0.1
36644,-0.01
36645,-0.07
36646,-0.12
36647,-0.13
36648,-0.15
36649,-0.06
36650,0.15
36651,0.14
36652,0.03
36653,-0.09
36654,-0.18
36655,0.09
36656,0.27
36657,-0.22
36658,-0.19
36659,0.22
36660,-0.16
36661,-0.23
36662,0.08
36663,-0.03
36664,-0.07
36665,0.14
36666,0.16
36667,-0.07
36668,-0.04
36669,0.29
36670,0.3
36671,0.04
36672,-0.24
36673,-0.1
36674,0.13
36675,0.04
36676,-0.15
36677,-0.23
36678,-0.05
36679,0.17
36680,-0.08
36681,-0.19
36682,0.01
36683,0.02
36684,0.16
36685,0.23
36686,0.08
36687,-0.28
36688,-0.3
36689,-0.23
36690,-0.18
36691,0.03
36692,0.0
36693,0.04
36694,0.11
36695,0.0
36696,0.05
36697,0.09
36698,0.03
36699,0.18
36700,0.13
36701,-0.0
36702,-0.18
36703,-0.05
36704,0.24
36705,0.12
36706,-0.07
36707,-0.15
36708,-0.06
36709,-0.01
36710,-0.01
36711,-0.08
36712,-0.02
36713,-0.08
36714,-0.14
36715,0.13
36716,0.27
36717,0.01
36718,-0.16
36719,-0.05
36720,-0.04
36721,-0.18
36722,-0.21
36723,-0.06
36724,-0.03
36725,0.09
36726,0.17
36727,0.04
36728,-0.0
36729,0.04
36730,-0.06
36731,-0.01
36732,0.06
36733,0.06
36734,0.09
36735,-0.25
36736,-0.23
36737,0.04
36738,-0.03
36739,-0.29
36740,-0.14
36741,0.05
36742,0.01
36743,0.03
36744,-0.05
36745,-0.17
36746,-0.22
36747,-0.1
36748,0.04
36749,0.04
36750,0.09
36751,0.1
36752,0.03
36753,0.07
36754,-0.01
36755,-0.01
36756,0.0
36757,0.05
36758,0.12
36759,0.06
36760,-0.06
36761,-0.14
36762,0.04
36763,0.17
36764,-0.0
36765,-0.02
36766,0.19
36767,0.24
36768,0.06
36769,-0.17
36770,-0.13
36771,-0.13
36772,-0.12
36773,0.08
36774,0.32
36775,0.29
36776,-0.03
36777,-0.06
36778,0.0
36779,-0.01
36780,-0.18
36781,0.05
36782,0.31
36783,0.0
36784,-0.22
36785,-0.22
36786,-0.1
36787,-0.07
36788,-0.03
36789,-0.12
36790,-0.13
36791,-0.17
36792,-0.16
36793,-0.1
36794,-0.16
36795,-0.04
36796,-0.06
36797,-0.1
36798,0.01
36799,0.26
36800,0.09
36801,-0.15
36802,-0.23
36803,-0.17
36804,0.11
36805,0.1
36806,0.12
36807,0.08
36808,0.11
36809,0.04
36810,-0.21
36811,0.11
36812,0.32
36813,0.23
36814,0.09
36815,-0.08
36816,-0.04
36817,0.18
36818,0.1
36819,0.08
36820,0.03
36821,-0.23
36822,0.04
36823,0.2
36824,0.17
36825,0.09
36826,0.15
36827,0.04
36828,-0.08
36829,-0.04
36830,-0.09
36831,-0.06
36832,-0.01
36833,0.13
36834,0.12
36835,-0.07
36836,-0.01
36837,0.04
36838,-0.07
36839,0.07
36840,0.47
36841,0.55
36842,0.15
36843,-0.12
36844,-0.25
36845,-0.13
36846,0.02
36847,0.08
36848,0.09
36849,-0.03
36850,-0.0
36851,-0.03
36852,-0.06
36853,0.01
36854,-0.04
36855,-0.15
36856,-0.17
36857,-0.16
36858,-0.13
36859,-0.06
36860,0.02
36861,0.1
36862,0.09
36863,0.11
36864,0.03
36865,0.0
36866,0.57
36867,0.31
36868,-0.4
36869,-0.2
36870,-0.01
36871,0.31
36872,0.07
36873,-0.28
36874,-0.03
36875,-0.11
36876,-0.17
36877,0.05
36878,0.04
36879,0.05
36880,-0.05
36881,-0.15
36882,0.05
36883,0.07
36884,0.04
36885,0.03
36886,-0.18
36887,-0.17
36888,-0.07
36889,-0.06
36890,0.14
36891,0.18
36892,0.09
36893,-0.01
36894,-0.0
36895,0.11
36896,0.09
36897,0.02
36898,0.06
36899,0.16
36900,0.1
36901,-0.08
36902,-0.07
36903,-0.02
36904,-0.11
36905,-0.18
36906,-0.11
36907,0.19
36908,0.22
36909,0.03
36910,0.24
36911,0.32
36912,0.0
36913,-0.15
36914,-0.11
36915,0.11
36916,0.53
36917,0.33
36918,0.19
36919,0.25
36920,0.12
36921,0.14
36922,0.13
36923,0.25
36924,0.27
36925,-0.11
36926,-0.03
36927,0.32
36928,0.22
36929,-0.04
36930,0.13
36931,0.17
36932,-0.41
36933,-0.61
36934,-0.17
36935,0.18
36936,-0.05
36937,-0.01
36938,0.05
36939,-0.38
36940,-0.09
36941,0.25
36942,0.12
36943,0.07
36944,-0.16
36945,0.13
36946,0.25
36947,0.01
36948,0.21
36949,0.44
36950,0.14
36951,0.29
36952,0.26
36953,-0.06
36954,0.05
36955,0.21
36956,0.27
36957,0.01
36958,-0.24
36959,0.0
36960,0.51
36961,0.0
36962,-0.3
36963,-0.28
36964,-0.29
36965,-0.08
36966,-0.05
36967,-0.22
36968,0.05
36969,0.24
36970,-0.09
36971,-0.06
36972,0.06
36973,0.13
36974,-0.17
36975,-0.08
36976,0.18
36977,0.06
36978,0.12
36979,-0.08
36980,-0.56
36981,-0.68
36982,-0.02
36983,0.28
36984,0.26
36985,0.07
36986,-0.16
36987,0.04
36988,0.08
36989,0.03
36990,0.25
36991,0.17
36992,-0.16
36993,-0.02
36994,0.15
36995,0.25
36996,0.25
36997,0.02
36998,-0.19
36999,-0.16
37000,-0.04
37001,0.01
37002,-0.26
37003,-0.15
37004,-0.03
37005,-0.19
37006,0.11
37007,0.11
37008,0.06
37009,0.13
37010,-0.04
37011,0.11
37012,0.19
37013,-0.01
37014,-0.18
37015,-0.13
37016,0.21
37017,0.1
37018,-0.1
37019,0.05
37020,-0.15
37021,-0.27
37022,-0.06
37023,-0.01
37024,0.22
37025,0.1
37026,0.19
37027,0.27
37028,-0.06
37029,-0.05
37030,-0.1
37031,0.04
37032,0.33
37033,0.01
37034,-0.22
37035,0.05
37036,-0.04
37037,-0.15
37038,-0.12
37039,-0.27
37040,-0.24
37041,-0.28
37042,-0.08
37043,0.11
37044,-0.04
37045,-0.14
37046,-0.09
37047,0.04
37048,-0.21
37049,-0.17
37050,-3.72
37051,-3.56
37052,0.29
37053,0.35
37054,0.49
37055,0.12
37056,0.06
37057,0.26
37058,-0.0
37059,-0.2
37060,-0.12
37061,0.23
37062,0.4
37063,0.0
37064,-0.28
37065,0.18
37066,0.58
37067,0.18
37068,-0.18
37069,-0.22
37070,-0.04
37071,0.45
37072,0.18
37073,-0.26
37074,-0.13
37075,-0.03
37076,0.26
37077,0.19
37078,-0.15
37079,-0.03
37080,0.01
37081,-0.22
37082,-0.07
37083,0.16
37084,0.23
37085,0.11
37086,-0.05
37087,0.03
37088,-0.01
37089,0.26
37090,0.09
37091,-0.29
37092,0.29
37093,0.33
37094,0.0
37095,-0.18
37096,-0.24
37097,0.12
37098,0.26
37099,-0.01
37100,-0.2
37101,-0.18
37102,0.02
37103,0.31
37104,0.15
37105,-0.1
37106,-0.08
37107,0.0
37108,0.0
37109,0.08
37110,-4.5
37111,-4.66
37112,-0.06
37113,0.38
37114,-0.13
37115,-1.02
37116,-0.34
37117,-0.08
37118,-0.14
37119,0.49
37120,0.54
37121,-0.12
37122,-0.25
37123,0.25
37124,0.54
37125,0.58
37126,0.17
37127,0.05
37128,0.16
37129,-0.07
37130,-0.2
37131,-0.32
37132,-0.01
37133,0.56
37134,0.36
37135,-0.18
37136,-0.21
37137,-0.29
37138,0.09
37139,0.18
37140,-0.38
37141,-0.24
37142,-0.07
37143,-0.11
37144,-0.13
37145,0.28
37146,0.45
37147,0.26
37148,-0.02
37149,-0.3
37150,-0.01
37151,0.21
37152,0.27
37153,0.22
37154,-0.12
37155,-0.21
37156,-0.01
37157,0.24
37158,0.41
37159,0.07
37160,-0.26
37161,-0.13
37162,-0.03
37163,0.1
37164,-0.01
37165,-0.2
37166,-0.06
37167,0.0
37168,-0.19
37169,-0.31
37170,-0.16
37171,0.26
37172,0.21
37173,0.04
37174,-0.02
37175,-0.17
37176,0.06
37177,0.19
37178,-0.22
37179,-0.62
37180,-0.5
37181,-0.13
37182,-0.05
37183,-0.07
37184,-0.3
37185,-0.34
37186,-0.58
37187,-0.46
37188,-0.31
37189,-0.38
37190,0.27
37191,0.1
37192,-0.49
37193,-0.23
37194,0.49
37195,0.57
37196,-0.0
37197,-0.14
37198,-0.22
37199,-0.12
37200,0.59
37201,0.47
37202,0.15
37203,0.03
37204,0.14
37205,0.19
37206,-0.05
37207,0.29
37208,0.24
37209,-0.08
37210,-0.21
37211,-0.08
37212,0.23
37213,0.03
37214,-0.02
37215,-0.09
37216,-0.18
37217,0.02
37218,0.06
37219,0.02
37220,-0.16
37221,-0.3
37222,-0.09
37223,0.65
37224,0.5
37225,-0.02
37226,-0.23
37227,-0.4
37228,-0.15
37229,-0.06
37230,-0.3
37231,-0.55
37232,-0.33
37233,-0.54
37234,-0.2
37235,0.1
37236,0.13
37237,0.93
37238,0.89
37239,0.62
37240,0.41
37241,-0.11
37242,-0.28
37243,-0.4
37244,-0.06
37245,0.41
37246,0.39
37247,0.07
37248,-0.39
37249,-0.38
37250,0.19
37251,0.35
37252,-0.16
37253,-0.16
37254,0.33
37255,0.43
37256,0.08
37257,-0.13
37258,-0.04
37259,0.21
37260,0.18
37261,-0.13
37262,-0.03
37263,0.33
37264,0.04
37265,-0.15
37266,-0.16
37267,-0.45
37268,-0.02
37269,0.14
37270,-0.25
37271,-0.16
37272,0.24
37273,0.18
37274,-0.1
37275,0.04
37276,-0.02
37277,-0.34
37278,-0.3
37279,-0.09
37280,0.2
37281,0.31
37282,0.25
37283,0.2
37284,0.0
37285,-0.17
37286,-0.19
37287,-0.02
37288,0.24
37289,0.29
37290,-0.02
37291,-0.1
37292,-0.21
37293,-0.17
37294,-0.01
37295,-0.22
37296,-0.11
37297,-0.02
37298,-0.27
37299,-0.58
37300,-0.11
37301,0.22
37302,0.11
37303,0.08
37304,-0.19
37305,-0.21
37306,0.5
37307,0.35
37308,-0.29
37309,-0.16
37310,-0.46
37311,-0.49
37312,0.04
37313,0.31
37314,0.1
37315,0.17
37316,0.0
37317,0.01
37318,0.2
37319,0.08
37320,0.37
37321,0.21
37322,-0.09
37323,-0.16
37324,0.14
37325,-0.09
37326,-0.22
37327,0.33
37328,0.11
37329,0.41
37330,0.62
37331,0.03
37332,-0.06
37333,0.13
37334,0.06
37335,0.2
37336,0.39
37337,0.36
37338,0.1
37339,-0.17
37340,-0.01
37341,0.08
37342,-0.07
37343,-0.1
37344,-0.05
37345,-0.03
37346,-0.05
37347,-0.04
37348,0.19
37349,0.25
37350,0.18
37351,0.35
37352,0.23
37353,-0.1
37354,-0.29
37355,-0.26
37356,-0.33
37357,-0.29
37358,0.09
37359,0.15
37360,0.24
37361,0.39
37362,0.17
37363,-0.22
37364,-0.36
37365,-0.17
37366,0.06
37367,0.14
37368,0.0
37369,-0.16
37370,-0.01
37371,0.07
37372,0.1
37373,0.11
37374,0.2
37375,0.5
37376,0.17
37377,-0.27
37378,0.04
37379,0.22
37380,-0.13
37381,-0.08
37382,-0.05
37383,-0.15
37384,-0.1
37385,-0.1
37386,-0.08
37387,-0.19
37388,-0.27
37389,-0.28
37390,-0.03
37391,-0.03
37392,-0.08
37393,0.04
37394,0.19
37395,0.3
37396,0.06
37397,-0.06
37398,0.31
37399,0.26
37400,-0.19
37401,-0.12
37402,0.04
37403,-0.02
37404,-0.16
37405,-0.2
37406,-0.29
37407,-0.16
37408,0.11
37409,0.09
37410,0.29
37411,-0.13
37412,-0.38
37413,0.18
37414,0.25
37415,-0.0
37416,-0.0
37417,0.09
37418,0.05
37419,-0.09
37420,0.01
37421,0.35
37422,0.27
37423,-0.04
37424,-0.24
37425,-0.01
37426,-0.03
37427,-0.38
37428,-0.2
37429,0.05
37430,-0.07
37431,-0.09
37432,-0.17
37433,-0.27
37434,-0.28
37435,-0.08
37436,-0.26
37437,-0.45
37438,0.01
37439,-0.2
37440,-0.05
37441,0.33
37442,-0.09
37443,-0.25
37444,-0.15
37445,0.21
37446,0.23
37447,-0.0
37448,0.07
37449,-0.07
37450,-0.15
37451,-0.05
37452,0.21
37453,0.06
37454,-0.08
37455,-0.1
37456,0.02
37457,0.07
37458,-0.16
37459,-0.27
37460,-0.55
37461,-0.46
37462,-0.34
37463,-0.08
37464,0.32
37465,0.09
37466,0.07
37467,-0.3
37468,-0.67
37469,-0.09
37470,-0.41
37471,-1.33
37472,-0.79
37473,0.18
37474,0.07
37475,-0.85
37476,-0.74
37477,0.17
37478,0.37
37479,0.63
37480,0.08
37481,-0.36
37482,0.21
37483,0.72
37484,1.35
37485,1.03
37486,0.04
37487,-0.5
37488,-0.14
37489,0.85
37490,0.24
37491,-0.23
37492,-0.27
37493,-0.47
37494,0.36
37495,0.38
37496,-0.33
37497,-0.13
37498,0.46
37499,0.3
37500,0.14
37501,0.36
37502,0.35
37503,-0.03
37504,-0.15
37505,-0.03
37506,-0.18
37507,-0.04
37508,-0.17
37509,-0.05
37510,0.07
37511,-0.03
37512,0.12
37513,-0.12
37514,-0.36
37515,0.04
37516,0.42
37517,0.32
37518,0.23
37519,0.26
37520,0.38
37521,0.01
37522,0.28
37523,0.23
37524,-0.12
37525,-0.04
37526,-0.03
37527,0.06
37528,-0.12
37529,0.15
37530,0.25
37531,0.18
37532,-0.1
37533,-0.32
37534,-0.02
37535,-0.08
37536,0.03
37537,-0.02
37538,0.04
37539,0.55
37540,0.28
37541,-0.1
37542,-0.13
37543,-0.08
37544,0.05
37545,-0.0
37546,0.02
37547,0.22
37548,-0.13
37549,-0.49
37550,-0.16
37551,0.19
37552,0.13
37553,0.15
37554,0.18
37555,-0.24
37556,-0.28
37557,0.04
37558,0.12
37559,-0.04
37560,-0.27
37561,-0.15
37562,0.05
37563,0.29
37564,0.24
37565,0.03
37566,-0.03
37567,0.14
37568,0.14
37569,-0.06
37570,0.07
37571,0.02
37572,0.34
37573,0.62
37574,0.29
37575,-0.01
37576,0.07
37577,-0.02
37578,-0.19
37579,-0.02
37580,0.1
37581,-0.01
37582,-0.11
37583,-0.29
37584,-0.21
37585,0.02
37586,-0.01
37587,-0.09
37588,-0.17
37589,0.02
37590,0.32
37591,0.08
37592,-0.12
37593,-0.03
37594,-0.13
37595,-0.11
37596,-0.06
37597,-0.12
37598,0.1
37599,0.17
37600,-0.07
37601,-0.12
37602,-0.05
37603,0.2
37604,0.2
37605,0.14
37606,0.23
37607,0.15
37608,0.14
37609,0.0
37610,-0.01
37611,-0.05
37612,0.16
37613,0.18
37614,-0.12
37615,0.01
37616,-0.12
37617,-0.24
37618,-0.02
37619,-0.01
37620,-0.11
37621,-0.14
37622,-0.07
37623,-0.02
37624,-0.03
37625,-0.01
37626,-0.05
37627,-0.13
37628,-0.04
37629,0.13
37630,-0.06
37631,-0.1
37632,0.01
37633,-0.01
37634,0.08
37635,0.04
37636,-0.03
37637,0.18
37638,0.37
37639,0.14
37640,-0.08
37641,-0.08
37642,-0.03
37643,0.12
37644,0.07
37645,0.27
37646,0.3
37647,0.09
37648,0.22
37649,0.43
37650,0.16
37651,-0.18
37652,-0.04
37653,-0.0
37654,-0.01
37655,-0.12
37656,-0.04
37657,-0.04
37658,-0.12
37659,0.04
37660,0.02
37661,-0.12
37662,-0.18
37663,-0.09
37664,0.04
37665,0.11
37666,0.13
37667,-0.02
37668,-0.18
37669,-0.11
37670,-0.02
37671,0.07
37672,0.07
37673,0.01
37674,-0.16
37675,-0.16
37676,-0.04
37677,-0.11
37678,-0.1
37679,0.01
37680,0.04
37681,-0.06
37682,-0.24
37683,-0.31
37684,-0.02
37685,0.07
37686,0.01
37687,0.09
37688,0.07
37689,0.08
37690,0.08
37691,-0.02
37692,0.04
37693,0.67
37694,0.74
37695,0.15
37696,-0.11
37697,-0.17
37698,-0.07
37699,-0.05
37700,-0.07
37701,0.1
37702,0.21
37703,0.05
37704,-0.06
37705,0.24
37706,0.14
37707,-0.31
37708,-0.21
37709,0.05
37710,2.98
37711,3.11
37712,0.42
37713,0.24
37714,0.07
37715,0.02
37716,-0.16
37717,-0.19
37718,-0.17
37719,-0.2
37720,-0.05
37721,0.06
37722,0.08
37723,0.1
37724,0.05
37725,-0.03
37726,-0.19
37727,-0.27
37728,-0.06
37729,0.09
37730,-0.07
37731,-0.2
37732,-0.01
37733,0.12
37734,0.01
37735,-0.03
37736,0.17
37737,0.26
37738,0.02
37739,-0.29
37740,-0.55
37741,-0.37
37742,-0.05
37743,0.25
37744,0.23
37745,0.21
37746,0.33
37747,-0.01
37748,-0.22
37749,-0.15
37750,-0.31
37751,-0.3
37752,0.02
37753,0.16
37754,0.23
37755,0.06
37756,-0.06
37757,0.02
37758,0.2
37759,0.4
37760,0.35
37761,0.15
37762,0.06
37763,0.0
37764,-0.18
37765,-0.08
37766,-0.12
37767,-0.25
37768,-0.13
37769,-0.29
37770,-2.53
37771,-2.29
37772,-0.05
37773,-0.35
37774,-0.29
37775,-0.04
37776,-0.23
37777,-0.21
37778,-0.11
37779,-0.14
37780,0.02
37781,0.06
37782,0.0
37783,-0.07
37784,-0.09
37785,-0.09
37786,0.08
37787,0.26
37788,-0.04
37789,-0.15
37790,-0.08
37791,-0.08
37792,0.03
37793,-0.01
37794,-0.11
37795,-0.11
37796,-0.0
37797,0.12
37798,0.14
37799,-0.12
37800,-0.1
37801,0.05
37802,0.07
37803,0.1
37804,-0.06
37805,-0.15
37806,-0.08
37807,-0.32
37808,-0.22
37809,0.27
37810,-0.03
37811,-0.26
37812,-0.04
37813,0.03
37814,0.21
37815,0.31
37816,0.24
37817,0.29
37818,0.23
37819,0.01
37820,-0.08
37821,-0.15
37822,-0.2
37823,-0.23
37824,-0.06
37825,0.08
37826,0.08
37827,0.16
37828,-0.06
37829,-0.17
37830,0.33
37831,0.11
37832,-0.28
37833,-0.08
37834,-0.18
37835,-0.16
37836,-0.15
37837,-0.24
37838,-0.27
37839,-0.31
37840,-0.12
37841,0.02
37842,-0.18
37843,-0.04
37844,0.09
37845,0.1
37846,0.09
37847,-0.13
37848,-0.06
37849,0.06
37850,-0.22
37851,-0.21
37852,-0.25
37853,-0.15
37854,0.16
37855,0.16
37856,0.05
37857,-0.07
37858,0.07
37859,0.15
37860,0.19
37861,0.21
37862,0.17
37863,0.05
37864,-0.04
37865,0.06
37866,-0.19
37867,-0.1
37868,0.2
37869,-0.08
37870,-0.06
37871,0.01
37872,-0.04
37873,0.17
37874,0.05
37875,0.09
37876,0.26
37877,0.13
37878,0.17
37879,-0.01
37880,-0.18
37881,-0.16
37882,-0.0
37883,0.23
37884,0.33
37885,-0.06
37886,-0.34
37887,-0.06
37888,0.1
37889,0.12
37890,-0.04
37891,0.0
37892,0.14
37893,0.13
37894,-0.04
37895,-0.13
37896,-0.03
37897,-0.03
37898,0.01
37899,-0.0
37900,-0.02
37901,-0.1
37902,-0.18
37903,-0.26
37904,-0.04
37905,0.4
37906,0.39
37907,0.32
37908,0.38
37909,0.21
37910,-0.08
37911,-0.2
37912,-0.17
37913,0.03
37914,0.2
37915,0.07
37916,-0.11
37917,-0.16
37918,-0.11
37919,-0.04
37920,0.0
37921,-0.17
37922,-0.28
37923,-0.03
37924,0.18
37925,0.3
37926,0.26
37927,-0.01
37928,-0.08
37929,0.06
37930,-0.03
37931,-0.17
37932,0.1
37933,-0.03
37934,-0.11
37935,0.0
37936,-0.03
37937,0.05
37938,0.04
37939,0.07
37940,0.05
37941,-0.02
37942,0.04
37943,0.2
37944,0.08
37945,-0.11
37946,-0.1
37947,-0.14
37948,-0.18
37949,-0.06
37950,0.14
37951,0.16
37952,-0.17
37953,-0.3
37954,-0.17
37955,-0.19
37956,-0.16
37957,0.04
37958,0.04
37959,0.01
37960,0.28
37961,0.33
37962,0.32
37963,0.1
37964,-0.07
37965,0.35
37966,0.45
37967,0.27
37968,0.11
37969,0.27
37970,0.66
37971,0.41
37972,0.01
37973,-0.0
37974,0.11
37975,0.12
37976,0.1
37977,0.11
37978,0.2
